#{"t_start": 1565909349.6703706, "env_id": null}
r,l,t
765.434181,1000,17.904891
791.93596,1000,17.905363
774.227797,1000,17.90546
848.598278,1000,17.905509
625.235097,1000,29.166493
679.795599,1000,29.166505
682.699024,1000,29.166556
805.367994,1000,29.166724
886.539375,1000,39.9776
770.315827,1000,39.977743
877.845965,1000,39.981106
657.869345,1000,39.98138
843.893632,1000,50.835272
807.263887,1000,50.835359
856.776938,1000,50.835653
861.381906,1000,50.835795
492.477537,1000,61.711278
405.949888,1000,61.711412
587.441688,1000,61.71162
661.990298,1000,61.712024
800.229719,1000,71.976465
776.038564,1000,71.976651
899.945434,1000,71.979736
879.790235,1000,71.97997
869.196309,1000,82.543939
738.610845,1000,82.544225
879.058036,1000,82.54447
888.09543,1000,82.544493
895.043296,1000,93.24518
834.774191,1000,93.245545
759.579583,1000,93.245691
810.42217,1000,93.246239
716.02459,1000,104.418023
729.055144,1000,104.418358
890.252964,1000,104.421308
646.540544,1000,104.421962
788.881815,1000,116.329793
899.277758,1000,116.33032
864.35329,1000,116.333026
768.429942,1000,116.333361
894.930567,1000,129.450038
857.809719,1000,129.450046
871.746225,1000,129.450186
828.62749,1000,129.450748
875.006746,1000,143.774765
807.638762,1000,143.777578
794.360119,1000,143.778317
668.966412,1000,143.779106
886.665859,1000,158.160866
876.800156,1000,158.161019
879.932101,1000,158.162302
877.476713,1000,158.164652
884.709363,1000,172.906618
918.131538,1000,172.910474
886.167236,1000,172.910563
797.356593,1000,172.910735
899.229797,1000,187.707091
813.844971,1000,187.710138
893.565267,1000,187.710155
896.348627,1000,187.710384
870.901314,1000,201.811823
840.486463,1000,201.812063
902.09373,1000,201.81234
880.739067,1000,201.812585
768.616596,1000,216.602567
888.097597,1000,216.603298
705.224622,1000,216.605697
772.263965,1000,216.611423
897.872236,1000,231.489384
869.729862,1000,231.489858
849.92806,1000,231.49006
912.944463,1000,231.494825
579.412877,1000,246.048744
818.391283,1000,246.049178
898.357494,1000,246.049378
828.334289,1000,246.049538
885.966053,1000,260.665288
95.019457,1000,260.667645
930.27976,1000,260.668016
875.334788,1000,260.669973
842.006764,1000,275.021202
883.366113,1000,275.021782
885.711261,1000,275.021789
871.97148,1000,275.023773
853.019399,1000,289.141468
860.939124,1000,289.141872
684.166289,1000,289.144078
835.740854,1000,289.144755
874.497447,1000,303.661623
707.569698,1000,303.66401
883.294028,1000,303.664331
846.654706,1000,303.664629
450.261259,1000,318.098117
862.881862,1000,318.100282
784.365696,1000,318.100862
671.854751,1000,318.104379
802.92024,1000,332.289693
727.844167,1000,332.290665
835.841282,1000,332.291125
42.564948,1000,332.293569
778.58492,1000,347.111268
851.645987,1000,347.114007
635.625968,1000,347.114545
731.688553,1000,347.116309
843.334876,1000,361.322118
818.795127,1000,361.323161
853.870208,1000,361.323472
872.1457,1000,361.326908
839.511863,1000,375.912894
905.607609,1000,375.914065
911.067247,1000,375.914301
724.113127,1000,375.915329
820.316655,1000,390.567845
773.649836,1000,390.571185
176.958814,1000,390.572096
825.2715,1000,390.575943
805.46554,1000,405.302821
880.533533,1000,405.303696
829.7992,1000,405.304133
822.409341,1000,405.304436
757.485411,1000,420.08644
801.688057,1000,420.086774
838.879287,1000,420.089137
833.876926,1000,420.089608
